LOCATION,ASSETATTRID,ALNVALUE,CLASSSTRUCTUREID,PLUSPCUSTOMER,ORGID,SITEID,CLASSSTRUCTUREID,ORGID,SECTION
1007053,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1007053,IRVREG,North,22350,BBC,UK,GB,22350,UK,
1007053,NSCREG,North,22350,BBC,UK,GB,22350,UK,
1007054,BBCREG,NULL,22350,BBC,UK,GB,22350,UK,
1007054,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1007054,IRVREG,North,22350,BBC,UK,GB,22350,UK,
1007054,NSCREG,North,22350,BBC,UK,GB,22350,UK,
1007055,BBCREG,NULL,22350,BBC,UK,GB,22350,UK,
1007055,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1007055,IRVREG,North,22350,BBC,UK,GB,22350,UK,
1007055,NSCREG,North,22350,BBC,UK,GB,22350,UK,
1007056,BBCREG,NULL,22350,BBC,UK,GB,22350,UK,
1007056,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1007056,IRVREG,North,22350,BBC,UK,GB,22350,UK,
1007056,NSCREG,North,22350,BBC,UK,GB,22350,UK,
1007057,BBCREG,NULL,22350,BBC,UK,GB,22350,UK,
1007057,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1007057,IRVREG,North,22350,BBC,UK,GB,22350,UK,
1007057,NSCREG,North,22350,BBC,UK,GB,22350,UK,
1007058,BBCREG,NULL,22350,BBC,UK,GB,22350,UK,
1007058,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1007058,IRVREG,North,22350,BBC,UK,GB,22350,UK,
1007058,NSCREG,North,22350,BBC,UK,GB,22350,UK,
1007059,BBCREG,NULL,22350,BBC,UK,GB,22350,UK,
1007059,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1007059,IRVREG,North,22350,BBC,UK,GB,22350,UK,
1007059,NSCREG,North,22350,BBC,UK,GB,22350,UK,
1007060,BBCREG,NULL,22350,BBC,UK,GB,22350,UK,
1007060,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1007060,IRVREG,North,22350,BBC,UK,GB,22350,UK,
1007060,NSCREG,North,22350,BBC,UK,GB,22350,UK,
1007061,BBCREG,NULL,22350,BBC,UK,GB,22350,UK,
1007061,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1007061,IRVREG,North,22350,BBC,UK,GB,22350,UK,
1007061,NSCREG,North,22350,BBC,UK,GB,22350,UK,
1007062,BBCREG,NULL,22350,BBC,UK,GB,22350,UK,
1007062,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1007062,IRVREG,North,22350,BBC,UK,GB,22350,UK,
1007062,NSCREG,North,22350,BBC,UK,GB,22350,UK,
1007063,BBCREG,NULL,22350,BBC,UK,GB,22350,UK,
1007063,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1007063,IRVREG,North,22350,BBC,UK,GB,22350,UK,
1007063,NSCREG,North,22350,BBC,UK,GB,22350,UK,
1007064,BBCREG,NULL,22350,BBC,UK,GB,22350,UK,
1007064,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1007064,IRVREG,North,22350,BBC,UK,GB,22350,UK,
1007064,NSCREG,North,22350,BBC,UK,GB,22350,UK,
1007065,BBCREG,NULL,22350,BBC,UK,GB,22350,UK,
1007065,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1007065,IRVREG,North,22350,BBC,UK,GB,22350,UK,
1007065,NSCREG,North,22350,BBC,UK,GB,22350,UK,
1007066,BBCREG,NULL,22350,BBC,UK,GB,22350,UK,
1007066,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1007066,IRVREG,North,22350,BBC,UK,GB,22350,UK,
1007066,NSCREG,North,22350,BBC,UK,GB,22350,UK,
1007067,BBCREG,NULL,22350,BBC,UK,GB,22350,UK,
1007067,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1007067,IRVREG,North,22350,BBC,UK,GB,22350,UK,
1007067,NSCREG,North,22350,BBC,UK,GB,22350,UK,
1007068,BBCREG,NULL,22350,BBC,UK,GB,22350,UK,
1007068,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1007068,IRVREG,North,22350,BBC,UK,GB,22350,UK,
1007068,NSCREG,North,22350,BBC,UK,GB,22350,UK,
1007069,BBCREG,NULL,22350,BBC,UK,GB,22350,UK,
1007069,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1007069,IRVREG,North,22350,BBC,UK,GB,22350,UK,
1007069,NSCREG,North,22350,BBC,UK,GB,22350,UK,
1007070,BBCREG,NULL,22350,BBC,UK,GB,22350,UK,
1007070,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1007070,IRVREG,North,22350,BBC,UK,GB,22350,UK,
