LOCATION,CLASSSTRUCTUREID,PLUSPCUSTOMER,ORGID,SITEID
1000782,22350,BBC,UK,GB
1000783,22350,BBC,UK,GB
1000784,22350,BBC,UK,GB
1000785,22350,BBC,UK,GB
1000786,22350,BBC,UK,GB
1000787,22350,BBC,UK,GB
1000788,22350,BBC,UK,GB
1000789,22350,BBC,UK,GB
1000790,22350,BBC,UK,GB
1000791,22350,BBC,UK,GB
1000792,22350,BBC,UK,GB
1000793,22350,BBC,UK,GB
1000794,22350,BBC,UK,GB
1000795,22350,BBC,UK,GB
1000796,22350,BBC,UK,GB
1000797,22350,BBC,UK,GB
1000798,22350,BBC,UK,GB
1000799,22350,BBC,UK,GB
1000800,22350,BBC,UK,GB
1000801,22350,BBC,UK,GB
1000802,22350,BBC,UK,GB
1000803,22350,BBC,UK,GB
1000804,22350,BBC,UK,GB
1000805,22350,BBC,UK,GB
1000806,22350,BBC,UK,GB
1000807,22350,BBC,UK,GB
1000808,22350,BBC,UK,GB
1000809,22350,BBC,UK,GB
1000810,22350,BBC,UK,GB
1000811,22350,BBC,UK,GB
1000812,22350,BBC,UK,GB
1000813,22350,BBC,UK,GB
1000814,22350,BBC,UK,GB
1000815,22350,BBC,UK,GB
1000816,22350,BBC,UK,GB
1000817,22350,BBC,UK,GB
1000818,22350,BBC,UK,GB
1000819,22350,BBC,UK,GB
1000820,22350,BBC,UK,GB
1000821,22350,BBC,UK,GB
1000822,22350,BBC,UK,GB
1000823,22350,BBC,UK,GB
1000824,22350,BBC,UK,GB
1000825,22350,BBC,UK,GB
1000826,22350,BBC,UK,GB
1000827,22350,BBC,UK,GB
1000828,22350,BBC,UK,GB
1000829,22350,BBC,UK,GB
1000830,22350,BBC,UK,GB
1000831,22350,BBC,UK,GB
1000832,22350,BBC,UK,GB
1000833,22350,BBC,UK,GB
1000834,22350,BBC,UK,GB
1000835,22350,BBC,UK,GB
1000836,22350,BBC,UK,GB
1000837,22350,BBC,UK,GB
1000838,22350,BBC,UK,GB
1000839,22350,BBC,UK,GB
1000840,22350,BBC,UK,GB
1000841,22350,BBC,UK,GB
1000842,22350,BBC,UK,GB
