DATALOAD,IRV_PMSEQ,,EN
PMNUM,INTERVAL,JPNUM,ORGID,SITEID
BBC200501,20,BBCCPL03,UK,GB
BBC200502,1,BBCCPL01,UK,GB
BBC200502,4,BBCCPL02,UK,GB
BBC200502,20,BBCCPL03,UK,GB
BBC200503,1,BBCAHU19,UK,GB
BBC200503,6,BBCAHU20,UK,GB
BBC200503,12,BBCAHU21,UK,GB
BBC200504,1,BBCAHU19,UK,GB
BBC200504,6,BBCAHU20,UK,GB
BBC200504,12,BBCAHU21,UK,GB
BBC200505,1,BBCAHU19,UK,GB
BBC200505,6,BBCAHU20,UK,GB
BBC200505,12,BBCAHU21,UK,GB
BBC200506,1,BBCAHU19,UK,GB
BBC200506,6,BBCAHU20,UK,GB
BBC200506,12,BBCAHU21,UK,GB
BBC200507,1,BBCAHU19,UK,GB
BBC200507,6,BBCAHU20,UK,GB
BBC200507,12,BBCAHU21,UK,GB
BBC200508,1,BBCAHU19,UK,GB
BBC200508,6,BBCAHU20,UK,GB
BBC200508,12,BBCAHU21,UK,GB
BBC200509,1,BBCAHU19,UK,GB
BBC200509,6,BBCAHU20,UK,GB
BBC200509,12,BBCAHU21,UK,GB
BBC200510,1,BBCAHU19,UK,GB
BBC200510,6,BBCAHU20,UK,GB
BBC200510,12,BBCAHU21,UK,GB
BBC200511,1,BBCAHU19,UK,GB
BBC200511,6,BBCAHU20,UK,GB
BBC200511,12,BBCAHU21,UK,GB
BBC200512,1,BBCELT01,UK,GB
BBC200512,6,BBCELT02,UK,GB
BBC200512,12,BBCELT03,UK,GB
BBC200512,36,BBCELT04,UK,GB
BBC200513,1,BBCELT01,UK,GB
BBC200513,6,BBCELT02,UK,GB
BBC200513,12,BBCELT03,UK,GB
BBC200513,36,BBCELT04,UK,GB
BBC200514,1,BBCELT01,UK,GB
BBC200514,6,BBCELT02,UK,GB
BBC200514,12,BBCELT03,UK,GB
BBC200514,36,BBCELT04,UK,GB
BBC200515,1,BBCELT01,UK,GB
BBC200515,6,BBCELT02,UK,GB
BBC200515,12,BBCELT03,UK,GB
BBC200515,36,BBCELT04,UK,GB
BBC200516,1,BBCELT01,UK,GB
BBC200516,6,BBCELT02,UK,GB
BBC200516,12,BBCELT03,UK,GB
BBC200516,36,BBCELT04,UK,GB
BBC200517,1,BBCELT01,UK,GB
BBC200517,6,BBCELT02,UK,GB
BBC200517,12,BBCELT03,UK,GB
BBC200517,36,BBCELT04,UK,GB
BBC200518,1,BBCELT01,UK,GB
BBC200518,6,BBCELT02,UK,GB
BBC200518,12,BBCELT03,UK,GB
BBC200518,36,BBCELT04,UK,GB
BBC200519,1,BBCLEA01,UK,GB
BBC200519,2,BBCLEA02,UK,GB
BBC200520,1,BBCLTG01,UK,GB
BBC200520,2,BBCLTG02,UK,GB
BBC200520,10,BBCLTG03,UK,GB
BBC200521,1,BBCLTG01,UK,GB
BBC200521,2,BBCLTG02,UK,GB
BBC200521,10,BBCLTG03,UK,GB
BBC200522,1,BBCLTG01,UK,GB
BBC200522,2,BBCLTG02,UK,GB
BBC200522,10,BBCLTG03,UK,GB
BBC200523,1,BBCLTG01,UK,GB
BBC200523,2,BBCLTG02,UK,GB
BBC200523,10,BBCLTG03,UK,GB
BBC200524,1,BBCLTG01,UK,GB
BBC200524,2,BBCLTG02,UK,GB
BBC200524,10,BBCLTG03,UK,GB
BBC200525,1,BBCLTG01,UK,GB
BBC200525,2,BBCLTG02,UK,GB
BBC200525,10,BBCLTG03,UK,GB
BBC200526,1,BBCLTG01,UK,GB
BBC200526,2,BBCLTG02,UK,GB
BBC200526,10,BBCLTG03,UK,GB
BBC200527,1,BBCAHU05,UK,GB
BBC200527,3,BBCAHU06,UK,GB
BBC200527,6,BBCAHU07,UK,GB
BBC200527,12,BBCAHU08,UK,GB
BBC200528,1,BBCAHU05,UK,GB
BBC200528,3,BBCAHU06,UK,GB
BBC200528,6,BBCAHU07,UK,GB
BBC200528,12,BBCAHU08,UK,GB
BBC200529,1,BBCAHU05,UK,GB
BBC200529,3,BBCAHU06,UK,GB
BBC200529,6,BBCAHU07,UK,GB
BBC200529,12,BBCAHU08,UK,GB
BBC200530,1,BBCAHU05,UK,GB
BBC200530,3,BBCAHU06,UK,GB
BBC200530,6,BBCAHU07,UK,GB
BBC200530,12,BBCAHU08,UK,GB
BBC200531,1,BBCAHU05,UK,GB
BBC200531,3,BBCAHU06,UK,GB
BBC200531,6,BBCAHU07,UK,GB
BBC200531,12,BBCAHU08,UK,GB
BBC200532,1,BBCAHU05,UK,GB
BBC200532,3,BBCAHU06,UK,GB
BBC200532,6,BBCAHU07,UK,GB
BBC200532,12,BBCAHU08,UK,GB
BBC200533,1,BBCAHU05,UK,GB
BBC200533,3,BBCAHU06,UK,GB
BBC200533,6,BBCAHU07,UK,GB
BBC200533,12,BBCAHU08,UK,GB
BBC200534,1,BBCFCU01,UK,GB
BBC200534,2,BBCFCU02,UK,GB
BBC200534,4,BBCFCU03,UK,GB
BBC200534,8,BBCFCU04,UK,GB
BBC200535,1,BBCFEB01,UK,GB
BBC200535,4,BBCFEB02,UK,GB
BBC200535,16,BBCFEB03,UK,GB
BBC200536,1,BBCFEB01,UK,GB
BBC200536,4,BBCFEB02,UK,GB
BBC200536,16,BBCFEB03,UK,GB
BBC200537,1,BBCFEB01,UK,GB
BBC200537,4,BBCFEB02,UK,GB
BBC200537,16,BBCFEB03,UK,GB
BBC200538,1,BBCFEB01,UK,GB
BBC200538,4,BBCFEB02,UK,GB
BBC200538,16,BBCFEB03,UK,GB
BBC200539,1,BBCFEB01,UK,GB
BBC200539,4,BBCFEB02,UK,GB
BBC200539,16,BBCFEB03,UK,GB
BBC200540,1,BBCFEB01,UK,GB
BBC200540,4,BBCFEB02,UK,GB
BBC200540,16,BBCFEB03,UK,GB
BBC200541,1,BBCDPR01,UK,GB
BBC200542,1,BBCDPR01,UK,GB
BBC200543,1,BBCDPR01,UK,GB
BBC200544,1,BBCFDR01,UK,GB
BBC200544,13,BBCFDR02,UK,GB
BBC200544,26,BBCFDR03,UK,GB
BBC200545,1,BBCFDR01,UK,GB
BBC200545,13,BBCFDR02,UK,GB
BBC200545,26,BBCFDR03,UK,GB
BBC200546,1,BBCFDR01,UK,GB
BBC200546,13,BBCFDR02,UK,GB
BBC200546,26,BBCFDR03,UK,GB
BBC200547,1,BBCFDR01,UK,GB
BBC200547,13,BBCFDR02,UK,GB
BBC200547,26,BBCFDR03,UK,GB
BBC200548,1,BBCFDR01,UK,GB
BBC200548,13,BBCFDR02,UK,GB
BBC200548,26,BBCFDR03,UK,GB
BBC200549,1,BBCFSS01,UK,GB
BBC200549,2,BBCFSS02,UK,GB
BBC200550,1,BBCFSS01,UK,GB
BBC200550,2,BBCFSS02,UK,GB
BBC200551,1,BBCFSS01,UK,GB
BBC200551,2,BBCFSS02,UK,GB
BBC200552,1,BBCFSS01,UK,GB
BBC200552,2,BBCFSS02,UK,GB
BBC200553,1,BBCFSS01,UK,GB
