DATALOAD,IRV_PMSEQ,,EN
PMNUM,INTERVAL,JPNUM,ORGID,SITEID
BBC139032,2,BBCPMP02,UK,GB
BBC139032,4,BBCPMP03,UK,GB
BBC139035,1,BBCPMP01,UK,GB
BBC139035,2,BBCPMP02,UK,GB
BBC139035,4,BBCPMP03,UK,GB
BBC139038,1,BBCPMP01,UK,GB
BBC139038,2,BBCPMP02,UK,GB
BBC139038,4,BBCPMP03,UK,GB
BBC139041,1,BBCPMP01,UK,GB
BBC139041,2,BBCPMP02,UK,GB
BBC139041,4,BBCPMP03,UK,GB
BBC139044,1,BBCPMP01,UK,GB
BBC139044,2,BBCPMP02,UK,GB
BBC139044,4,BBCPMP03,UK,GB
BBC139047,1,BBCRBB01,UK,GB
BBC139047,2,BBCRBB02,UK,GB
BBC139047,5,BBCRBB03,UK,GB
BBC139050,1,BBCCRP01,UK,GB
BBC139050,3,BBCCRP02,UK,GB
BBC139052,1,BBCSHC01,UK,GB
BBC139052,2,BBCSHC02,UK,GB
BBC139054,1,BBCSHC01,UK,GB
BBC139054,2,BBCSHC02,UK,GB
BBC139056,1,BBCSHC01,UK,GB
BBC139056,2,BBCSHC02,UK,GB
BBC139058,1,BBCSDS01,UK,GB
BBC139059,1,BBCSDS01,UK,GB
BBC139060,1,BBCSES01,UK,GB
BBC139061,1,BBCACU01,UK,GB
BBC139061,2,BBCACU02,UK,GB
BBC139063,1,BBCACU01,UK,GB
BBC139063,2,BBCACU02,UK,GB
BBC139065,1,BBCACU01,UK,GB
BBC139065,2,BBCACU02,UK,GB
BBC139067,1,BBCACU01,UK,GB
BBC139067,2,BBCACU02,UK,GB
BBC139069,1,BBCACU01,UK,GB
BBC139069,2,BBCACU02,UK,GB
BBC139071,1,BBCACU01,UK,GB
BBC139071,2,BBCACU02,UK,GB
BBC139073,1,BBCACU01,UK,GB
BBC139073,2,BBCACU02,UK,GB
BBC139075,1,BBCACU01,UK,GB
BBC139075,2,BBCACU02,UK,GB
BBC139077,1,BBCACU01,UK,GB
