DATALOAD,IRV_PM,,EN
PMNUM,DESCRIPTION,ASSETNUM,LOCATION,FREQUENCY,FREQUNIT,JPNUM,ADJNEXTDATE,ALERTLEAD,DOWNTIME,HASCHILDREN,HASLD,INTERRUPTIBLE,LEADTIME,LOCKFORECAST,LTDPMCOUNTER,OVERRIDEMASTERUPD,PLUSCDUEDATE,PMACTMETER,PMASSETWOGEN,PMCOUNTER,REFORECAST,REQASSTDWNTIME,SCHEDEARLY,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,INCLFORECAST,JPSEQINUSE,PARENTCHGSSTATUS,USEFREQUENCY,USETARGETDATE,TARGSTARTTIME,NEXTDATE,STATUS,LANGCODE,SITEID,ORGID,STORELOC,WORKTYPE,WOSTATUS,GLACCOUNT,CREWID,ROUTE,OWNER,LEAD,PERSONGROUP,OWNERGROUP,VENDOR,SUPERVISOR,PRIORITY
BBC138761,PDU’S & DISTRIBUTION BOARDS ,2014-68926,,3,MONTHS,BBCPDB01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,Y,1,1,Y,1970-01-01T00:00:00+01:00,2014-08-01T00:00:00+00:00,ACTIVE,EN,GB,UK,GB,PPM,WSCH,??????????-MEPMXF,,,,,,,,,
BBC138765,PDU’S & DISTRIBUTION BOARDS ,2014-68928,,3,MONTHS,BBCPDB01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,Y,1,1,Y,1970-01-01T00:00:00+01:00,2014-08-01T00:00:00+00:00,ACTIVE,EN,GB,UK,GB,PPM,WSCH,??????????-MEPMXF,,,,,,,,,
BBC138769,PDU’S & DISTRIBUTION BOARDS ,2014-68930,,3,MONTHS,BBCPDB01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,Y,1,1,Y,1970-01-01T00:00:00+01:00,2014-08-01T00:00:00+00:00,ACTIVE,EN,GB,UK,GB,PPM,WSCH,??????????-MEPMXF,,,,,,,,,
BBC138773,PDU’S & DISTRIBUTION BOARDS ,2014-68932,,3,MONTHS,BBCPDB01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,Y,1,1,Y,1970-01-01T00:00:00+01:00,2014-08-01T00:00:00+00:00,ACTIVE,EN,GB,UK,GB,PPM,WSCH,??????????-MEPMXF,,,,,,,,,
BBC138777,PDU’S & DISTRIBUTION BOARDS ,2014-68933,,3,MONTHS,BBCPDB01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,Y,1,1,Y,1970-01-01T00:00:00+01:00,2014-08-01T00:00:00+00:00,ACTIVE,EN,GB,UK,GB,PPM,WSCH,??????????-MEPMXF,,,,,,,,,
BBC138781,PDU’S & DISTRIBUTION BOARDS ,2014-68934,,3,MONTHS,BBCPDB01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,Y,1,1,Y,1970-01-01T00:00:00+01:00,2014-08-01T00:00:00+00:00,ACTIVE,EN,GB,UK,GB,PPM,WSCH,??????????-MEPMXF,,,,,,,,,
BBC138785,PDU’S & DISTRIBUTION BOARDS ,2014-68944,,3,MONTHS,BBCPDB01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,Y,1,1,Y,1970-01-01T00:00:00+01:00,2014-08-01T00:00:00+00:00,ACTIVE,EN,GB,UK,GB,PPM,WSCH,??????????-MEPMXF,,,,,,,,,
BBC138789,PDU’S & DISTRIBUTION BOARDS ,2014-68947,,3,MONTHS,BBCPDB01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,Y,1,1,Y,1970-01-01T00:00:00+01:00,2014-08-01T00:00:00+00:00,ACTIVE,EN,GB,UK,GB,PPM,WSCH,??????????-MEPMXF,,,,,,,,,
BBC138793,PIPEWORK & FITTINGS ,,1000790,6,MONTHS,BBCPWF01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,Y,1,1,Y,1970-01-01T00:00:00+01:00,2014-08-01T00:00:00+00:00,ACTIVE,EN,GB,UK,GB,PPM,WSCH,??????????-MEPMXF,,,,,,,,,
BBC138794,PIPEWORK & FITTINGS ,,1000791,6,MONTHS,BBCPWF01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,Y,1,1,Y,1970-01-01T00:00:00+01:00,2014-08-01T00:00:00+00:00,ACTIVE,EN,GB,UK,GB,PPM,WSCH,??????????-MEPMXF,,,,,,,,,
BBC138795,PIPEWORK & FITTINGS ,,1000793,6,MONTHS,BBCPWF01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,Y,1,1,Y,1970-01-01T00:00:00+01:00,2014-08-01T00:00:00+00:00,ACTIVE,EN,GB,UK,GB,PPM,WSCH,??????????-MEPMXF,,,,,,,,,
