DATALOAD,IRV_ASSET,,EN
ASSETID,LOCATION,ASSETNUM,SADDRESSCODE,DESCRIPTION,DESCRIPTION_LONGDESCRIPTION,HASLD,ISRUNNING,INSTALLDATE,ASSETTYPE,MANUFACTURER,IRV_MODEL,IRV_LEGASSETREF,SERIALNUM,IRV_ASSETCOND,IRV_CRITICALITY,IRV_EXPECTLIFE,IRV_LEGBARCODE,IRV_LEGCOND,IRV_REPLACEQTY,IRV_SIZECAP,IRV_SURVEYDATE,IRV_UOM,PLUSPCUSTOMER,LANGCODE,CHANGEBY,ORGID,SITEID,STATUS,STATUSDATE,CHANGEDATE,ASSETUID
,1006581,2014-63738,BBCADD009,DISTRIBUTION BOARDS INC LV FUSEBOARD,D-CART UPS DB,1,1,1995,FACILITIES,SQUARE D,NOT PRESENT,,,4,1,20,2014-63738,,1,6,2014-04-22T11:27:00+00:00,Ways,BBC,,,,GB,OPERATING,,,
,1006581,2014-63739,BBCADD009,AUTO CHANGE OVER PANEL,BAY 41 C/OVER SWITCH,1,1,1995,FACILITIES,NOT PRESENT,NOT PRESENT,,,4,1,20,2014-63739,,1,Not Present,2014-04-22T11:30:00+00:00,Volts,BBC,,,,GB,OPERATING,,,
,1006581,2014-63740,BBCADD009,AUTO CHANGE OVER PANEL,BAY 33 C/OVER SWITCH,1,1,1995,FACILITIES,NOT PRESENT,NOT PRESENT,,,4,1,20,2014-63740,,1,Not Present,2014-04-22T11:29:00+00:00,Volts,BBC,,,,GB,OPERATING,,,
,1006582,2014-63722,BBCADD009,FIRE SUPPRESSION SYSTEMS (GASEOUS / FOAM / MIST / ETC),N/A,1,1,2014,FACILITIES,BRITANNIA,K11031M2,,NOT PRESENT,5,1,25,2014-63722,,1,,2014-04-22T10:49:00+00:00,,BBC,,,,GB,OPERATING,,,
,1006583,2014-63786,BBCADD009,EVAC CHAIR,EVAC CHAIR,1,1,2005,FACILITIES,,,,,4,3,10,2014-63786,,1,,2014-04-22T14:32:00+00:00,,BBC,,,,GB,OPERATING,,,
,1006584,2014-63745,BBCADD009,DISTRIBUTION BOARDS INC LV FUSEBOARD,UPS DB 101,1,1,1990,FACILITIES,SQUARE D,QO310012,,,4,1,20,2014-63745,,1,12,2014-04-22T11:50:00+00:00,Ways,BBC,,,,GB,OPERATING,,,
,1006584,2014-63746,BBCADD009,DISTRIBUTION BOARDS INC LV FUSEBOARD,UPS DB 101,1,1,1990,FACILITIES,SQUARE D,QO310012,,,1,1,20,2014-63746,,1,12,2014-04-22T11:51:00+00:00,Ways,BBC,,,,GB,OPERATING,,,
,1006584,2014-63747,BBCADD009,ENERGY METER,UPS METER PANEL,1,1,1990,FACILITIES,UNDERWOODS,NOT PRESENT,,,3,4,15,2014-63747,,1,,2014-04-22T11:52:00+00:00,,BBC,,,,GB,DECOMMISSIONED,,,
,1006584,2014-63748,BBCADD009,UPS UNIT STATIC,N/A,1,1,1995,FACILITIES,APCC,DP300E,,NOT PRESENT,3,2,20,2014-63748,,1,18.75,2014-04-22T11:54:00+00:00,kV,BBC,,,,GB,OPERATING,,,
,1006584,2014-63749,BBCADD009,AUTO CHANGE OVER PANEL,N/A,1,1,1995,FACILITIES,APCC,SBP-310/320E,,,5,2,20,2014-63749,,1,240,2014-04-22T11:56:00+00:00,Volts,BBC,,,,GB,OPERATING,,,
